epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.014482986984253,29.220000000000002,77.52,1.8306790752410889,35.04,83.69
2,1.8237001175689698,35.980000000000004,83.952,1.812606407737732,36.3,84.19
3,1.8136987963485718,36.296,84.356,1.8064084289550781,36.02,84.47
4,1.8105218348693848,36.424,84.41199999999999,1.8060962640762328,35.96,84.59
5,1.8079831972122193,36.442,84.53399999999999,1.8015099563598633,36.8,84.48
6,1.8066147197723388,36.686,84.53,1.7982433059692382,36.78,84.68
7,1.8045027778625489,36.894,84.562,1.79959207611084,36.449999999999996,84.68
8,1.8035676877593994,36.684,84.624,1.7953225141525269,37.230000000000004,84.73
9,1.8027423989868163,37.012,84.53,1.7951009429931641,37.09,84.72
10,1.8018278424453735,36.874,84.63000000000001,1.7950573022842407,37.11,84.87
11,1.8007637659454345,36.822,84.71600000000001,1.7939946462631227,36.69,84.83000000000001
12,1.7997976342773438,37.058,84.674,1.7939619718551636,37.18,84.77
13,1.7991618395614624,37.059999999999995,84.75200000000001,1.7924419677734376,37.29,84.82
14,1.7990669300842286,36.980000000000004,84.75200000000001,1.7910577754974366,37.480000000000004,84.63000000000001
15,1.7983594262313842,36.988,84.68,1.7910917360305787,36.99,85.06
16,1.797339677810669,37.046,84.66,1.7891185691833495,37.08,85.07000000000001
17,1.796831115989685,37.086000000000006,84.636,1.7891386526107789,37.05,84.98
18,1.796077456817627,36.972,84.744,1.7902246417999268,37.43,85.07000000000001
19,1.7960314381027223,37.328,84.722,1.7910845657348633,37.18,85.00999999999999
20,1.795675309677124,37.126,84.784,1.7874272466659546,37.43,85.07000000000001
21,1.795003920249939,37.21,84.726,1.7880376653671264,37.19,84.67
22,1.7948039122390747,37.056,84.768,1.7895092933654786,37.28,84.77
23,1.7942155935668946,37.16,84.832,1.7874526306152343,37.59,84.83000000000001
24,1.7940157105255128,37.318,84.856,1.7889365787506104,37.419999999999995,85.0
25,1.7938975171661378,37.303999999999995,84.762,1.7870005186080933,37.14,84.83000000000001
26,1.7927954114532472,37.186,84.87599999999999,1.791169561958313,37.09,84.77
27,1.7935897521972657,37.272,84.804,1.7860548624038697,37.56,85.15
28,1.7927944253921508,37.272,84.796,1.7882858972549438,37.41,84.87
29,1.7927571095275878,37.242,84.794,1.7855465572357179,37.68,85.17
30,1.7926050721740723,37.41,84.788,1.7847236129760742,37.45,84.95
31,1.792520200843811,37.169999999999995,84.868,1.7811138509750366,37.84,84.99
32,1.7920861420059204,37.192,84.822,1.7842487754821776,37.18,85.09
33,1.7911158320617675,37.43,84.89999999999999,1.7850806318283081,37.74,84.8
34,1.791219941329956,37.172,84.89,1.784211561203003,37.29,84.7
35,1.7909885780715942,37.294,84.848,1.7826644500732423,37.12,84.98
36,1.7912170502471925,37.204,84.824,1.7816595333099365,37.66,85.08
37,1.7905366638183593,37.318,84.882,1.7841379764556884,37.37,85.24000000000001
38,1.7904567942428589,37.312,84.86399999999999,1.7866593505859374,36.88,85.18
39,1.7897256300735473,37.31,84.926,1.7828584316253662,37.37,84.89
40,1.789992096939087,37.24,84.786,1.7825001688003541,37.53,84.91
41,1.7896807339477538,37.268,84.87400000000001,1.7806173849105835,37.56,85.11
42,1.789814757156372,37.38,84.914,1.7839270694732665,37.45,85.04
43,1.7894072441101074,37.269999999999996,84.962,1.7823554384231568,37.47,85.14
44,1.7894171590042114,37.336000000000006,84.956,1.7797450674057007,37.69,85.15
45,1.7889271128082276,37.326,84.902,1.780525965499878,37.88,85.21
46,1.7885555282592773,37.39,85.002,1.7798296216964722,37.88,84.94
47,1.7888471446990968,37.352000000000004,84.86399999999999,1.781510926246643,37.57,85.2
48,1.788393582801819,37.504,84.86,1.7825797964096068,37.22,85.19
49,1.788852868118286,37.198,84.95,1.781158639717102,37.79,85.28999999999999
50,1.7883285969543457,37.65,84.878,1.786540157699585,36.63,84.93
51,1.788100040588379,37.362,85.002,1.7819893527984618,37.419999999999995,85.11
52,1.7881772817993165,37.408,84.936,1.7812094549179076,37.43,85.36
53,1.7877095206451417,37.53,85.044,1.778625644683838,37.88,85.35000000000001
54,1.7879940377807617,37.532,84.974,1.783312314414978,37.57,84.84
55,1.7878714765930175,37.568,84.956,1.7802678201675415,37.92,85.17
56,1.787735471572876,37.472,84.858,1.7789877557754517,38.019999999999996,84.98
57,1.7876528091430663,37.436,84.924,1.7794501258850097,37.830000000000005,85.03
58,1.7870943798828125,37.322,84.82600000000001,1.78233635597229,37.12,85.25
59,1.7870625777816773,37.434,84.894,1.7789367364883424,37.230000000000004,85.17
60,1.787515849571228,37.388,84.962,1.7780425451278687,37.82,85.14
61,1.7870464666748047,37.366,84.968,1.7806634031295776,37.57,85.07000000000001
62,1.7868988871002198,37.602000000000004,84.952,1.7813436233520508,37.62,84.93
63,1.7869126165008544,37.366,84.91199999999999,1.7775607597351075,38.06,85.00999999999999
64,1.7867764332580567,37.61,84.91199999999999,1.779167760658264,37.36,85.36
65,1.7867346969604492,37.458000000000006,84.86399999999999,1.7779700448989868,37.45,85.18
66,1.7865728078842162,37.512,84.916,1.779133874320984,38.129999999999995,85.21
67,1.7864753763580323,37.382,84.904,1.7806195068359374,37.19,84.92
68,1.7861157836151123,37.446,85.10799999999999,1.7765391702651978,37.75,85.09
69,1.7867535572052002,37.472,84.944,1.7787721582412719,37.53,85.1
70,1.785911593055725,37.5,85.048,1.7784409523010254,37.71,85.38
71,1.7862776000976563,37.632,85.036,1.7779274070739746,37.59,85.19
72,1.7860395066070556,37.39,85.018,1.7789320606231689,37.769999999999996,85.07000000000001
73,1.7861625322341919,37.39,84.96000000000001,1.7786042800903321,37.4,85.11
74,1.7854402186584473,37.513999999999996,85.08,1.776736374092102,37.769999999999996,85.57000000000001
75,1.786040567817688,37.724000000000004,84.936,1.7764400491714478,37.31,85.35000000000001
76,1.7860403944778442,37.478,85.124,1.7776594522476197,37.8,85.34
77,1.7855486141967774,37.466,84.97,1.7755404966354371,37.91,85.15
78,1.7853971180725097,37.506,84.98400000000001,1.7799406246185303,37.580000000000005,85.13
79,1.7856239609527589,37.524,85.058,1.7773995775222777,38.23,85.15
80,1.785491838607788,37.46,85.036,1.775899283027649,37.519999999999996,85.28999999999999
81,1.7853862678527832,37.448,84.97200000000001,1.7756855770111084,37.91,85.14
82,1.7851341296386718,37.541999999999994,85.05,1.7801056854248047,37.44,84.73
83,1.7854931550979614,37.396,85.024,1.77667698097229,37.57,85.19
84,1.784501286315918,37.568,85.02199999999999,1.7762157676696777,37.769999999999996,85.24000000000001
85,1.785174089241028,37.538,85.052,1.777558967399597,37.68,85.11999999999999
86,1.7851255432891846,37.612,85.044,1.775506413269043,38.12,85.11999999999999
87,1.7849680825805665,37.434,85.03399999999999,1.7783586080551148,37.330000000000005,84.94
88,1.784900786972046,37.604,84.99799999999999,1.777280228805542,37.61,85.19
89,1.7848877281188964,37.538,85.056,1.776575648498535,37.580000000000005,85.24000000000001
90,1.784798828277588,37.419999999999995,85.062,1.7757212606430053,37.63,85.32
91,1.784828571510315,37.388,85.08200000000001,1.7743875486373901,38.05,85.09
92,1.7845788929367066,37.576,85.032,1.774674096107483,37.84,85.36
93,1.7846596353149413,37.552,85.166,1.777371404838562,37.519999999999996,85.41
94,1.7847636679077148,37.442,85.064,1.7769378667831421,37.71,85.19
95,1.7849772792816163,37.678,85.13,1.7787789192199708,37.71,85.02
96,1.7847142601013184,37.538,85.04,1.7748273487091064,37.88,85.06
97,1.7845813105773927,37.728,85.03399999999999,1.7751212327957153,38.1,85.16
98,1.784571309776306,37.478,85.09,1.7787856662750243,37.15,85.16
