epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.0964108990478514,30.052,77.218,1.9640305339813233,35.18,82.33
2,1.90670768409729,37.230000000000004,83.864,1.8527685556411744,38.18,85.05
3,1.8237988363647462,39.462,85.482,1.7916620237350465,39.660000000000004,86.16
4,1.7732449319076538,40.762,86.562,1.7512105464935304,40.75,86.8
5,1.7378032486343384,41.628,87.27000000000001,1.7216541536331176,41.79,87.4
6,1.710929151916504,42.414,87.846,1.6987000457763672,42.559999999999995,87.88
7,1.6894980800628663,42.903999999999996,88.252,1.6801234058380128,42.99,88.26
8,1.671800625076294,43.354,88.608,1.6646417823791504,43.19,88.62
9,1.6568117373657227,43.714,88.94,1.651456753540039,43.36,88.86
10,1.6438732260894775,44.052,89.198,1.640040114402771,43.57,88.98
11,1.6325386870574952,44.358,89.416,1.6300250095367432,43.8,89.08
12,1.6224919065093995,44.59,89.592,1.6211462757110595,44.04,89.27000000000001
13,1.6135005401611329,44.734,89.768,1.613205954170227,44.379999999999995,89.49000000000001
14,1.6053888277435302,44.956,89.914,1.6060521434783936,44.51,89.51
15,1.59802053565979,45.129999999999995,90.022,1.5995658807754516,44.7,89.57000000000001
16,1.5912879293060302,45.318000000000005,90.13799999999999,1.5936520935058593,45.03,89.64999999999999
17,1.5851043167877197,45.476,90.196,1.5882337182998658,45.190000000000005,89.74
18,1.5793989477920531,45.592,90.29,1.5832475040435792,45.26,89.79
19,1.574113346786499,45.706,90.39,1.5786407989501954,45.440000000000005,89.92999999999999
20,1.569198671798706,45.82,90.448,1.574369398880005,45.71,89.99000000000001
21,1.564613726158142,45.978,90.524,1.5703959959030152,45.910000000000004,90.07
22,1.5603234963226318,46.102,90.616,1.5666887268066407,45.989999999999995,90.09
23,1.556297906150818,46.206,90.724,1.5632201810836792,46.0,90.21000000000001
24,1.5525110528564454,46.33,90.778,1.5599667194366456,46.07,90.33
25,1.5489404634857178,46.424,90.848,1.5569076875686645,46.14,90.35
26,1.5455664642333984,46.562,90.88000000000001,1.5540252309799194,46.160000000000004,90.42999999999999
27,1.5423717885971069,46.642,90.95400000000001,1.5513034379959108,46.22,90.44
28,1.5393412289047241,46.727999999999994,91.008,1.548728412437439,46.27,90.56
29,1.5364613043212891,46.79,91.038,1.5462878433227538,46.31,90.62
30,1.533720036277771,46.827999999999996,91.078,1.5439707216262817,46.39,90.64
31,1.531106699256897,46.878,91.092,1.541767297935486,46.48,90.68
32,1.5286117276382447,46.958,91.128,1.5396688051223755,46.51,90.75
33,1.5262264685058593,47.052,91.18,1.5376673402786254,46.550000000000004,90.77
34,1.5239431576538085,47.105999999999995,91.2,1.5357559226989745,46.53,90.81
35,1.5217547501373292,47.176,91.256,1.533928049659729,46.550000000000004,90.86
36,1.519654894065857,47.276,91.276,1.5321779237747193,46.589999999999996,90.86999999999999
37,1.5176377428436278,47.324,91.282,1.5305003644943238,46.63,90.88000000000001
38,1.5156980702972411,47.382000000000005,91.32000000000001,1.5288905170440674,46.660000000000004,90.92
39,1.5138310083389281,47.422,91.328,1.5273440435409547,46.69,91.0
40,1.5120321426773071,47.476,91.366,1.5258569766998291,46.79,91.02
41,1.510297413711548,47.577999999999996,91.372,1.5244256170272827,46.87,91.08000000000001
42,1.50862311794281,47.604,91.392,1.5230466176986694,46.839999999999996,91.10000000000001
43,1.507005814781189,47.666,91.422,1.5217169080734252,46.89,91.14999999999999
44,1.5054423236083985,47.711999999999996,91.444,1.5204336748123168,46.9,91.21000000000001
45,1.5039297043609618,47.762,91.452,1.51919423828125,46.89,91.25999999999999
46,1.5024652629852295,47.778,91.458,1.5179962167739869,46.98,91.27
47,1.501046517906189,47.806,91.46600000000001,1.5168373989105224,47.0,91.27
48,1.4996710873413086,47.836,91.49199999999999,1.5157156177520752,47.02,91.31
49,1.4983368128204346,47.868,91.518,1.5146290498733521,47.02,91.35
50,1.4970416974258423,47.914,91.526,1.5135757986068725,47.04,91.39
51,1.4957838269805908,47.964,91.532,1.5125542644500733,47.07,91.44
52,1.4945614568328858,47.986000000000004,91.55,1.5115628551483153,47.099999999999994,91.45
53,1.4933729275512695,48.036,91.55799999999999,1.5106001459121705,47.15,91.46
54,1.4922167234039307,48.076,91.61,1.509664792251587,47.23,91.47
55,1.491091381149292,48.116,91.62400000000001,1.5087555004119872,47.28,91.45
56,1.4899955478668212,48.18,91.64,1.507871106147766,47.31,91.5
57,1.4889279734039307,48.199999999999996,91.666,1.5070104038238525,47.3,91.52
58,1.4878874335098267,48.238,91.684,1.506172425842285,47.29,91.57
59,1.486872798728943,48.28,91.682,1.50535619430542,47.31,91.56
60,1.4858830255508424,48.308,91.702,1.50456074924469,47.32,91.59
61,1.4849171215438843,48.314,91.728,1.5037852319717406,47.339999999999996,91.62
62,1.4839741217041016,48.342,91.73599999999999,1.5030288312911988,47.3,91.64999999999999
63,1.4830531283950805,48.378,91.77199999999999,1.5022907402038574,47.349999999999994,91.66
64,1.482153312072754,48.418,91.788,1.5015702610015869,47.38,91.66
65,1.481273873901367,48.44,91.81,1.500866702079773,47.370000000000005,91.67
66,1.4804140707015991,48.449999999999996,91.818,1.5001793460845947,47.39,91.67999999999999
67,1.4795731454849244,48.480000000000004,91.846,1.499507654762268,47.370000000000005,91.67
68,1.4787504443359376,48.49,91.866,1.4988510328292846,47.370000000000005,91.69
69,1.4779453067016601,48.512,91.854,1.498208881187439,47.39,91.69
70,1.4771571465301514,48.516,91.854,1.4975806823730469,47.370000000000005,91.67999999999999
71,1.4763853354263305,48.534,91.874,1.4969658975601197,47.38,91.7
72,1.4756293545532226,48.544,91.892,1.4963641569137573,47.38,91.74
73,1.4748886420440674,48.554,91.91,1.4957749095916748,47.349999999999994,91.72
74,1.4741627236938477,48.594,91.91,1.4951977745056153,47.36,91.72
75,1.4734511084747315,48.606,91.912,1.4946323490142823,47.339999999999996,91.73
76,1.4727533151245118,48.64,91.922,1.4940781433105468,47.339999999999996,91.74
